Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.LINE_0_1, 644.5551, 642.6264, 644.5551, 642.6264, 0, 0
Line.LINE_1_2, 518.2071, 516.2781, 518.2071, 516.2781, 0, 0
Line.LINE_2_3, 3.546263, 1.617178, 3.546263, 1.617178, 0, 0
Line.LINE_4_5, 454.2793, 454.2197, 454.2793, 454.2197, 0, 0
Line.LINE_4_6, 454.2793, 454.2197, 454.2793, 454.2197, 0, 0
Line.LINE_4_7, 5271.644, 5271.585, 5271.644, 5271.585, 0, 0
Line.LINE_7_10, 5271.644, 5271.585, 5271.644, 5271.585, 0, 0
Line.LINE_10_11, 0.02552702, -0.03411129, 0.02552702, -0.03411129, 0, 0
Line.LINE_10_12, 5248.466, 5248.407, 5248.466, 5248.407, 0, 0
Line.LINE_12_13, 0.8684413, 0.8088233, 0.8684413, 0.8088233, 0, 0
Line.LINE_12_14, 5114.31, 5114.25, 5114.31, 5114.25, 0, 0
Line.LINE_14_15, 3.511958, 3.452367, 3.511958, 3.452367, 0, 0
Line.LINE_14_16, 75.76008, 75.7005, 75.76008, 75.7005, 0, 0
Line.LINE_14_41, 3713.242, 3713.182, 3713.242, 3713.182, 0, 0
Line.LINE_16_17, 2.302133, 2.242544, 2.302133, 2.242544, 0, 0
Line.LINE_16_18, 51.64936, 51.58978, 51.64936, 51.58978, 0, 0
Line.LINE_18_19, 2.06609, 2.006503, 2.06609, 2.006503, 0, 0
Line.LINE_18_20, 33.05515, 32.99556, 33.05515, 32.99556, 0, 0
Line.LINE_20_21, 1.13362, 1.074033, 1.13362, 1.074033, 0, 0
Line.LINE_20_22, 21.94591, 21.88632, 21.94591, 21.88632, 0, 0
Line.LINE_22_23, 10.0328, 9.973213, 10.0328, 9.973213, 0, 0
Line.LINE_22_24, 2.30187, 2.242282, 2.30187, 2.242282, 0, 0
Line.LINE_24_25, 2.301867, 2.242283, 2.301867, 2.242283, 0, 0
Line.LINE_24_26, 0.0001436874, 0, 0.0001436874, 0, 0, 0
Line.LINE_26_27, 0, 0, 0, 0, 0, 0
Line.LINE_26_28, 0, 0, 0, 0, 0, 0
Line.LINE_28_29, 0, 0, 0, 0, 0, 0
Line.LINE_28_30, 0, 0, 0, 0, 0, 0
Line.LINE_30_31, 0, 0, 0, 0, 0, 0
Line.LINE_30_32, 0, 0, 0, 0, 0, 0
Line.LINE_32_33, 0, 0, 0, 0, 0, 0
Line.LINE_32_35, 0, 0, 0, 0, 0, 0
Line.LINE_33_34, 0, 0, 0, 0, 0, 0
Line.LINE_35_36, 0, 0, 0, 0, 0, 0
Line.LINE_35_37, 0, 0, 0, 0, 0, 0
Line.LINE_37_38, 0, 0, 0, 0, 0, 0
Line.LINE_37_39, 0, 0, 0, 0, 0, 0
Line.LINE_37_40, 0, 0, 0, 0, 0, 0
Line.LINE_41_42, 13.68552, 13.62595, 13.68552, 13.62595, 0, 0
