Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 69, 1,      39377,   -1.5,   0.98845, 2,      39377, -121.5,   0.98845, 3,      39377,  118.5,   0.98845
"BUS_HV_1", 69, 1,    39376.5,   -1.5,   0.98844, 2,    39376.5, -121.5,   0.98844, 3,    39376.5,  118.5,   0.98844
"BUS_HV_2", 69, 1,      39376,   -1.5,   0.98842, 2,      39376, -121.5,   0.98842, 3,      39376,  118.5,   0.98842
"BUS_HV_3", 69, 1,      39376,   -1.5,   0.98842, 2,      39376, -121.5,   0.98842, 3,      39376,  118.5,   0.98842
"BUS_MV_4", 12.47, 1,    6926.94,  -37.1,   0.96213, 2,    6926.94, -157.1,   0.96213, 3,    6926.94,   82.9,   0.96213
"BUS_MV_5", 12.47, 1,    6926.52,  -37.1,   0.96208, 2,    6926.52, -157.1,   0.96208, 3,    6926.52,   82.9,   0.96208
"BUS_MV_6", 12.47, 1,    6926.52,  -37.1,   0.96208, 2,    6926.52, -157.1,   0.96208, 3,    6926.52,   82.9,   0.96208
"BUS_MV_7", 12.47, 1,     6925.5,  -37.1,   0.96193, 2,     6925.5, -157.1,   0.96193, 3,     6925.5,   82.9,   0.96193
"BUS_MV_10", 12.47, 1,    6924.07,  -37.1,   0.96174, 2,    6924.07, -157.1,   0.96174, 3,    6924.07,   82.9,   0.96174
"BUS_MV_11", 12.47, 1,    6924.07,  -37.1,   0.96174, 2,    6924.07, -157.1,   0.96174, 3,    6924.07,   82.9,   0.96174
"BUS_MV_12", 12.47, 1,    6922.64,  -37.1,   0.96154, 2,    6922.64, -157.1,   0.96154, 3,    6922.64,   82.9,   0.96154
"BUS_MV_13", 12.47, 1,    6922.62,  -37.1,   0.96153, 2,    6922.62, -157.1,   0.96153, 3,    6922.62,   82.9,   0.96153
"BUS_MV_14", 12.47, 1,    6921.23,  -37.1,   0.96134, 2,    6921.23, -157.1,   0.96134, 3,    6921.23,   82.9,   0.96134
"BUS_MV_15", 12.47, 1,    6921.19,  -37.1,   0.96134, 2,    6921.19, -157.1,   0.96134, 3,    6921.19,   82.9,   0.96134
"BUS_MV_16", 12.47, 1,    6921.06,  -37.1,   0.96132, 2,    6921.06, -157.1,   0.96132, 3,    6921.06,   82.9,   0.96132
"BUS_MV_41", 12.47, 1,    6920.02,  -37.1,   0.96117, 2,    6920.02, -157.1,   0.96117, 3,    6920.02,   82.9,   0.96117
"BUS_MV_17", 12.47, 1,    6921.03,  -37.1,   0.96131, 2,    6921.03, -157.1,   0.96131, 3,    6921.03,   82.9,   0.96131
"BUS_MV_18", 12.47, 1,    6920.91,  -37.1,    0.9613, 2,    6920.91, -157.1,    0.9613, 3,    6920.91,   82.9,    0.9613
"BUS_MV_19", 12.47, 1,    6920.89,  -37.1,   0.96129, 2,    6920.89, -157.1,   0.96129, 3,    6920.89,   82.9,   0.96129
"BUS_MV_20", 12.47, 1,     6920.8,  -37.1,   0.96128, 2,     6920.8, -157.1,   0.96128, 3,     6920.8,   82.9,   0.96128
"BUS_MV_21", 12.47, 1,    6920.78,  -37.1,   0.96128, 2,    6920.78, -157.1,   0.96128, 3,    6920.78,   82.9,   0.96128
"BUS_MV_22", 12.47, 1,    6920.71,  -37.1,   0.96127, 2,    6920.71, -157.1,   0.96127, 3,    6920.71,   82.9,   0.96127
"BUS_MV_23", 12.47, 1,    6920.65,  -37.1,   0.96126, 2,    6920.65, -157.1,   0.96126, 3,    6920.65,   82.9,   0.96126
"BUS_MV_24", 12.47, 1,    6920.68,  -37.1,   0.96126, 2,    6920.68, -157.1,   0.96126, 3,    6920.68,   82.9,   0.96126
"BUS_MV_25", 12.47, 1,    6920.65,  -37.1,   0.96126, 2,    6920.65, -157.1,   0.96126, 3,    6920.65,   82.9,   0.96126
"BUS_MV_26", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_MV_27", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_MV_28", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_MV_29", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_MV_30", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_MV_31", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
